,Driver,Lap,Position,LapTime,Constructor
121,giovinazzi,7,14,1.0159833333333332,alfa
122,aitken,7,15,1.012,williams
123,perez,7,16,0.9872166666666666,racing_point
124,pietro_fittipaldi,7,17,1.0086666666666666,haas
125,raikkonen,7,18,1.0098833333333332,alfa
126,russell,8,1,0.9706,mercedes
127,bottas,8,2,0.9782,mercedes
128,sainz,8,3,0.9804,mclaren
129,ricciardo,8,4,0.9843333333333333,renault
130,kvyat,8,5,0.9856,alphatauri
131,stroll,8,6,0.9873166666666666,racing_point
132,gasly,8,7,0.9887166666666667,alphatauri
133,ocon,8,8,0.9908333333333333,renault
134,norris,8,9,0.9873666666666666,mclaren
135,albon,8,10,0.9915,red_bull
136,vettel,8,11,1.01215,ferrari
137,kevin_magnussen,8,12,0.99515,haas
138,latifi,8,13,1.0022666666666666,williams
139,perez,8,14,0.9949666666666667,racing_point
140,giovinazzi,8,15,1.0108,alfa
141,aitken,8,16,1.01635,williams
142,raikkonen,8,17,1.0057666666666667,alfa
143,pietro_fittipaldi,8,18,1.02655,haas
144,russell,9,1,0.96765,mercedes
145,bottas,9,2,0.9714,mercedes
146,sainz,9,3,0.9798166666666667,mclaren
147,ricciardo,9,4,0.9786,renault
148,kvyat,9,5,0.9777833333333333,alphatauri
149,stroll,9,6,0.9785,racing_point
150,gasly,9,7,0.9832833333333333,alphatauri
151,ocon,9,8,0.9908666666666667,renault
152,norris,9,9,0.9822666666666666,mclaren
153,vettel,9,10,0.98645,ferrari
154,albon,9,11,1.0,red_bull
155,kevin_magnussen,9,12,0.9979166666666667,haas
156,perez,9,13,0.9791,racing_point
157,latifi,9,14,1.0092333333333334,williams
158,giovinazzi,9,15,1.0029666666666666,alfa
159,aitken,9,16,1.0001833333333334,williams
160,raikkonen,9,17,1.0027,alfa
161,pietro_fittipaldi,9,18,1.0009,haas
162,russell,10,1,0.97215,mercedes
163,bottas,10,2,0.9743,mercedes
164,sainz,10,3,0.97965,mclaren
165,ricciardo,10,4,0.9809333333333333,renault
166,kvyat,10,5,0.9814666666666667,alphatauri
167,stroll,10,6,0.9815666666666667,racing_point
168,gasly,10,7,0.9759666666666666,alphatauri
169,ocon,10,8,0.9799,renault
170,norris,10,9,0.98425,mclaren
171,vettel,10,10,0.9852333333333333,ferrari
172,albon,10,11,0.9823333333333333,red_bull
173,perez,10,12,0.96825,racing_point
174,kevin_magnussen,10,13,1.00155,haas
175,latifi,10,14,1.0017833333333332,williams
176,giovinazzi,10,15,1.0132666666666668,alfa
177,raikkonen,10,16,1.0069833333333333,alfa
178,aitken,10,17,1.0258333333333334,williams
179,pietro_fittipaldi,10,18,1.0112333333333334,haas
180,russell,11,1,0.9708666666666667,mercedes
181,bottas,11,2,0.9681833333333333,mercedes
182,sainz,11,3,0.9772833333333333,mclaren
183,ricciardo,11,4,0.9757666666666667,renault
184,kvyat,11,5,0.97645,alphatauri
185,stroll,11,6,0.9788333333333333,racing_point
186,gasly,11,7,0.9814,alphatauri
187,ocon,11,8,0.9808,renault
188,norris,11,9,0.9841,mclaren
189,albon,11,10,0.9897333333333334,red_bull
190,perez,11,11,0.9906333333333334,racing_point
191,vettel,11,12,1.0237333333333334,ferrari
192,kevin_magnussen,11,13,0.99675,haas
193,latifi,11,14,0.9940666666666667,williams
194,giovinazzi,11,15,0.9912333333333333,alfa
195,aitken,11,16,1.0096,williams
196,raikkonen,11,17,1.0334833333333333,alfa
197,pietro_fittipaldi,11,18,1.0305,haas
198,russell,12,1,0.9703833333333334,mercedes
199,bottas,12,2,0.9709666666666666,mercedes
200,sainz,12,3,0.9790166666666666,mclaren
201,ricciardo,12,4,0.9795666666666667,renault
202,kvyat,12,5,0.98015,alphatauri
203,stroll,12,6,0.9771666666666666,racing_point
204,gasly,12,7,0.97915,alphatauri
205,ocon,12,8,0.9831,renault
206,norris,12,9,0.9890333333333333,mclaren
207,albon,12,10,0.98205,red_bull
208,perez,12,11,0.9837666666666667,racing_point
209,vettel,12,12,0.9919833333333333,ferrari
210,kevin_magnussen,12,13,1.00055,haas
211,latifi,12,14,0.9941166666666666,williams
212,giovinazzi,12,15,0.9923833333333333,alfa
213,aitken,12,16,0.9949833333333333,williams
214,raikkonen,12,17,0.9989,alfa
215,pietro_fittipaldi,12,18,1.0026333333333333,haas
216,russell,13,1,0.9701666666666666,mercedes
217,bottas,13,2,0.9754666666666667,mercedes
218,sainz,13,3,0.983,mclaren
219,ricciardo,13,4,0.9845,renault
220,kvyat,13,5,0.9825833333333334,alphatauri
221,stroll,13,6,0.9834666666666667,racing_point
222,gasly,13,7,0.98025,alphatauri
223,ocon,13,8,0.9818333333333333,renault
224,norris,13,9,0.9871666666666666,mclaren
225,albon,13,10,0.9793333333333333,red_bull
226,perez,13,11,0.9775166666666667,racing_point
227,vettel,13,12,0.99095,ferrari
228,kevin_magnussen,13,13,0.9992666666666666,haas
229,latifi,13,14,0.99555,williams
230,giovinazzi,13,15,0.99435,alfa
231,aitken,13,16,0.9956166666666667,williams
232,raikkonen,13,17,1.00025,alfa
233,pietro_fittipaldi,13,18,0.9996333333333334,haas
234,russell,14,1,0.9709666666666666,mercedes
235,bottas,14,2,0.9735333333333334,mercedes
236,sainz,14,3,0.982,mclaren
237,ricciardo,14,4,0.9815166666666667,renault
238,kvyat,14,5,0.9845666666666667,alphatauri
239,stroll,14,6,0.9814833333333334,racing_point
240,gasly,14,7,0.9825,alphatauri
241,ocon,14,8,0.9868166666666667,renault
242,norris,14,9,0.9857333333333334,mclaren
243,albon,14,10,0.9808666666666667,red_bull
244,perez,14,11,0.97865,racing_point
245,vettel,14,12,0.9907333333333334,ferrari
246,kevin_magnussen,14,13,0.99515,haas
247,latifi,14,14,0.9930166666666667,williams
248,giovinazzi,14,15,0.99245,alfa
249,aitken,14,16,0.9972833333333333,williams
250,raikkonen,14,17,1.0025333333333333,alfa
251,pietro_fittipaldi,14,18,0.99995,haas
252,russell,15,1,0.9725166666666667,mercedes
253,bottas,15,2,0.97205,mercedes
254,sainz,15,3,0.9807333333333333,mclaren
255,ricciardo,15,4,0.9839333333333333,renault
256,kvyat,15,5,0.9819333333333333,alphatauri
257,stroll,15,6,0.9823833333333334,racing_point
258,gasly,15,7,0.9835666666666667,alphatauri
259,ocon,15,8,0.9841333333333333,renault
260,norris,15,9,0.9829,mclaren
261,albon,15,10,0.982,red_bull
262,perez,15,11,0.9813,racing_point
263,vettel,15,12,0.9914666666666667,ferrari
264,kevin_magnussen,15,13,0.9958333333333333,haas
265,latifi,15,14,0.99125,williams
266,giovinazzi,15,15,0.98975,alfa
267,aitken,15,16,0.99465,williams
268,raikkonen,15,17,0.9984166666666666,alfa
269,pietro_fittipaldi,15,18,1.0027833333333334,haas
270,russell,16,1,0.9668,mercedes
271,bottas,16,2,0.97075,mercedes
272,sainz,16,3,0.9804,mclaren
273,ricciardo,16,4,0.98,renault
274,kvyat,16,5,0.9828666666666667,alphatauri
275,stroll,16,6,0.98505,racing_point
276,gasly,16,7,0.9846333333333334,alphatauri
277,ocon,16,8,0.9850333333333333,renault
278,norris,16,9,0.98365,mclaren
279,albon,16,10,0.9790833333333333,red_bull
280,perez,16,11,0.9785,racing_point
281,vettel,16,12,0.9909166666666667,ferrari
282,latifi,16,13,1.0004166666666667,williams
283,giovinazzi,16,14,1.0025833333333334,alfa
284,kevin_magnussen,16,15,1.0385333333333333,haas
285,aitken,16,16,0.9934666666666667,williams
286,raikkonen,16,17,0.99935,alfa
287,pietro_fittipaldi,16,18,0.9991833333333333,haas
288,russell,17,1,0.9694833333333334,mercedes
289,bottas,17,2,0.9663,mercedes
290,sainz,17,3,0.9820666666666666,mclaren
291,ricciardo,17,4,0.98035,renault
292,kvyat,17,5,0.9795833333333334,alphatauri
293,stroll,17,6,0.9799,racing_point
294,gasly,17,7,0.9790166666666666,alphatauri
295,ocon,17,8,0.9801833333333333,renault
296,norris,17,9,0.9832,mclaren
297,albon,17,10,0.9815,red_bull
298,perez,17,11,0.9813,racing_point
299,vettel,17,12,0.9853666666666666,ferrari
300,latifi,17,13,0.9904833333333334,williams
301,giovinazzi,17,14,0.9888833333333333,alfa
302,kevin_magnussen,17,15,0.9961666666666666,haas
303,aitken,17,16,0.99705,williams
304,raikkonen,17,17,1.0006,alfa
305,pietro_fittipaldi,17,18,0.99815,haas
306,russell,18,1,0.9672333333333333,mercedes
307,bottas,18,2,0.96705,mercedes
308,sainz,18,3,0.9777,mclaren
309,ricciardo,18,4,0.9804333333333334,renault
310,kvyat,18,5,0.98305,alphatauri
311,stroll,18,6,0.9827833333333333,racing_point
312,gasly,18,7,0.9855,alphatauri
313,ocon,18,8,0.98265,renault
314,norris,18,9,0.9881833333333333,mclaren
315,albon,18,10,0.98735,red_bull
316,perez,18,11,0.9848166666666667,racing_point
317,vettel,18,12,0.9854333333333334,ferrari
318,latifi,18,13,0.9891833333333333,williams
319,giovinazzi,18,14,0.9916666666666667,alfa
320,kevin_magnussen,18,15,0.9942166666666666,haas
321,aitken,18,16,0.99675,williams
322,raikkonen,18,17,1.00165,alfa
323,pietro_fittipaldi,18,18,0.9998,haas
324,russell,19,1,0.9719166666666667,mercedes
325,bottas,19,2,0.9681166666666666,mercedes
326,sainz,19,3,0.97955,mclaren
327,ricciardo,19,4,0.9848333333333333,renault
328,kvyat,19,5,0.9815833333333334,alphatauri
329,stroll,19,6,0.9824,racing_point
330,gasly,19,7,0.9812833333333333,alphatauri
331,ocon,19,8,0.9781166666666666,renault
332,norris,19,9,0.9900166666666667,mclaren
333,albon,19,10,0.9901666666666666,red_bull
334,perez,19,11,0.9908666666666667,racing_point
335,vettel,19,12,0.98685,ferrari
336,latifi,19,13,0.9927333333333334,williams
337,giovinazzi,19,14,0.9921333333333333,alfa
338,kevin_magnussen,19,15,0.9956833333333334,haas
339,aitken,19,16,0.9912833333333333,williams
340,raikkonen,19,17,1.004,alfa
341,pietro_fittipaldi,19,18,1.0147166666666667,haas
342,russell,20,1,0.9681833333333333,mercedes
343,bottas,20,2,0.9690333333333333,mercedes
344,sainz,20,3,0.9794833333333334,mclaren
345,ricciardo,20,4,0.9799333333333333,renault
346,kvyat,20,5,0.9822,alphatauri
347,stroll,20,6,0.9797,racing_point
348,gasly,20,7,0.97945,alphatauri
349,ocon,20,8,0.9797833333333333,renault
350,albon,20,9,0.97595,red_bull
351,perez,20,10,0.9792666666666666,racing_point
352,norris,20,11,1.0563833333333332,mclaren
353,vettel,20,12,0.98875,ferrari
354,latifi,20,13,0.99025,williams
355,giovinazzi,20,14,0.9909666666666667,alfa
356,kevin_magnussen,20,15,0.9945666666666667,haas
357,aitken,20,16,0.99175,williams
358,raikkonen,20,17,0.9981333333333333,alfa
359,pietro_fittipaldi,20,18,0.9989833333333333,haas
360,russell,21,1,0.9682,mercedes
361,bottas,21,2,0.96655,mercedes
362,sainz,21,3,0.9811333333333333,mclaren
363,ricciardo,21,4,0.9798666666666667,renault
364,kvyat,21,5,0.9797333333333333,alphatauri
365,stroll,21,6,0.9824833333333334,racing_point
366,gasly,21,7,0.9833166666666666,alphatauri
367,ocon,21,8,0.9815833333333334,renault
368,perez,21,9,0.9810166666666666,racing_point
369,albon,21,10,1.0075166666666666,red_bull
370,vettel,21,11,0.9976166666666667,ferrari
371,latifi,21,12,0.9930166666666667,williams
372,giovinazzi,21,13,0.9921,alfa
373,kevin_magnussen,21,14,0.9954,haas
374,aitken,21,15,0.9927333333333334,williams
375,raikkonen,21,16,1.002,alfa
376,pietro_fittipaldi,21,17,0.9993333333333333,haas
377,norris,21,18,1.3300833333333333,mclaren
378,russell,22,1,0.9709333333333333,mercedes
379,bottas,22,2,0.9694166666666667,mercedes
380,sainz,22,3,0.9798166666666667,mclaren
381,ricciardo,22,4,0.97975,renault
382,kvyat,22,5,0.9816666666666667,alphatauri
383,stroll,22,6,0.9827,racing_point
384,gasly,22,7,0.98375,alphatauri
385,ocon,22,8,0.9851,renault
386,perez,22,9,0.9795833333333334,racing_point
387,albon,22,10,0.9788166666666667,red_bull
388,vettel,22,11,0.9885,ferrari
389,latifi,22,12,0.989,williams
390,giovinazzi,22,13,0.9923333333333333,alfa
391,kevin_magnussen,22,14,0.9964833333333334,haas
392,aitken,22,15,0.9997166666666667,williams
393,raikkonen,22,16,0.9972333333333333,alfa
394,pietro_fittipaldi,22,17,0.9994,haas
395,norris,22,18,0.9828666666666667,mclaren
396,russell,23,1,0.9659166666666666,mercedes
397,bottas,23,2,0.9670333333333333,mercedes
398,sainz,23,3,0.9771166666666666,mclaren
399,ricciardo,23,4,0.98295,renault
400,kvyat,23,5,0.9838166666666667,alphatauri
401,stroll,23,6,0.9835833333333334,racing_point
402,gasly,23,7,0.9828666666666667,alphatauri
403,ocon,23,8,0.9821333333333333,renault
404,perez,23,9,0.9856,racing_point
405,albon,23,10,0.9842166666666666,red_bull
406,vettel,23,11,0.9909333333333333,ferrari
407,latifi,23,12,0.9925166666666667,williams
408,giovinazzi,23,13,0.9931666666666666,alfa
409,kevin_magnussen,23,14,0.9944333333333333,haas
410,aitken,23,15,0.9916833333333334,williams
411,pietro_fittipaldi,23,16,0.9977166666666667,haas
412,raikkonen,23,17,1.0362833333333332,alfa
413,norris,23,18,0.9761333333333333,mclaren
414,russell,24,1,0.9699666666666666,mercedes
415,bottas,24,2,0.9683166666666667,mercedes
416,sainz,24,3,0.9789833333333333,mclaren
417,ricciardo,24,4,0.9800666666666666,renault
418,kvyat,24,5,0.9850833333333333,alphatauri
419,stroll,24,6,0.9846333333333334,racing_point
420,gasly,24,7,0.9850166666666667,alphatauri
421,ocon,24,8,0.9851166666666666,renault
422,perez,24,9,0.9773666666666667,racing_point
423,albon,24,10,0.97855,red_bull
424,vettel,24,11,0.9853,ferrari
425,latifi,24,12,0.9919666666666667,williams
426,giovinazzi,24,13,0.9913666666666666,alfa
427,kevin_magnussen,24,14,0.9941666666666666,haas
428,aitken,24,15,0.993,williams
429,pietro_fittipaldi,24,16,1.0025333333333333,haas
430,norris,24,17,0.98,mclaren
431,raikkonen,24,18,1.4156166666666667,alfa
432,russell,25,1,0.9670166666666666,mercedes
433,bottas,25,2,0.97005,mercedes
434,sainz,25,3,0.9761833333333333,mclaren
435,ricciardo,25,4,0.9843,renault
436,kvyat,25,5,0.9853666666666666,alphatauri
437,stroll,25,6,0.9862333333333333,racing_point
438,gasly,25,7,0.9858833333333333,alphatauri
439,ocon,25,8,0.9826,renault
440,perez,25,9,0.9767333333333333,racing_point
441,albon,25,10,0.98065,red_bull
442,vettel,25,11,0.9865,ferrari
443,latifi,25,12,0.99295,williams
444,giovinazzi,25,13,0.9935166666666667,alfa
445,kevin_magnussen,25,14,0.9987,haas
446,aitken,25,15,0.995,williams
